Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
408,517.7032988071442,1.0,1,1
409,NA,NA,NA,NA
410,535.3965904712677,18.0,18,1
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,521.6011202335358,7.0,7,1
416,507.8945174217224,7.0,7,1
417,NA,NA,NA,NA
418,461.8511292934418,13.0,13,1
419,NA,NA,NA,NA
420,479.1425940990448,23.9,32,10
421,NA,NA,NA,NA
422,NA,NA,NA,NA
423,NA,NA,NA,NA
424,NA,NA,NA,NA
425,NA,NA,NA,NA
426,547.1451506614685,6.0,6,1
427,NA,NA,NA,NA
428,NA,NA,NA,NA
429,NA,NA,NA,NA
430,NA,NA,NA,NA
431,NA,NA,NA,NA
432,NA,NA,NA,NA
433,NA,NA,NA,NA
434,NA,NA,NA,NA
435,NA,NA,NA,NA
436,457.556604385376,4.0,4,1
437,NA,NA,NA,NA
438,NA,NA,NA,NA
439,NA,NA,NA,NA
440,468.3044767379761,23.0,24,2
441,NA,NA,NA,NA
442,454.73124957084656,10.0,10,1
443,NA,NA,NA,NA
444,NA,NA,NA,NA
445,452.77830481529236,5.0,5,1
446,NA,NA,NA,NA
447,NA,NA,NA,NA
448,NA,NA,NA,NA
449,NA,NA,NA,NA
450,NA,NA,NA,NA
451,453.72785997390747,12.0,12,1
452,NA,NA,NA,NA
453,NA,NA,NA,NA
454,NA,NA,NA,NA
455,464.083211183548,5.0,6,2
456,NA,NA,NA,NA
457,NA,NA,NA,NA
458,NA,NA,NA,NA
459,NA,NA,NA,NA
460,NA,NA,NA,NA
